Class name,TP, FP, FN - Missing objects, Mean IOU, Mean CoM offset, Mean orientation offset, F1score
Input map data
Chair,5,0,0,0.675668,0.0793611,5.48897,1
Couch,3,0,0,0.775998,0.131904,2.34531,1
Shelf,3,0,0,0.867806,0.0394112,2.20189,1
Table,6,0,0,0.873286,0.0800522,1.2082,1
Input map data
Chair,5,1,0,0.705279,0.085642,15.5949,0.909091
Couch,3,0,0,0.872564,0.078952,0.70532,1
Shelf,3,0,0,0.94322,0.0137768,0.424929,1
Table,6,0,0,0.870582,0.0813635,0.84756,1
Input map data
Chair,5,0,0,0.787248,0.0473072,3.6158,1
Couch,3,0,0,0.799409,0.114823,5.61132,1
Shelf,3,0,0,0.80608,0.0574682,1.42738,1
Table,6,0,0,0.91786,0.0347123,0.723215,1
Input map data
Chair,4,0,1,0.732,0.0666124,3.03153,0.888889
Couch,3,0,0,0.830615,0.0902587,3.39706,1
Shelf,3,0,0,0.763689,0.100243,1.56366,1
Table,6,0,0,0.823694,0.0899633,0.922389,1
Input map data
Chair,5,0,0,0.603478,0.0929284,5.1013,1
Couch,3,0,0,0.885549,0.0645439,1.8846,1
Shelf,3,0,0,0.777993,0.0538808,0.706985,1
Table,6,0,0,0.916096,0.0358239,0.708681,1
Input map data
Chair,5,0,0,0.727942,0.0716507,4.88936,1
Couch,3,0,0,0.827694,0.169116,0.610775,1
Shelf,3,0,0,0.781333,0.0548346,0.75056,1
Table,6,0,0,0.91577,0.0417132,0.307049,1
Input map data
Chair,5,0,0,0.628694,0.106688,17.5993,1
Couch,3,0,0,0.735452,0.269369,4.27575,1
Shelf,3,0,0,0.79158,0.0488991,2.03795,1
Table,6,0,0,0.891788,0.0547254,4.98792,1
Input map data
Chair,4,0,1,0.679498,0.0859077,15.4475,0.888889
Couch,3,0,0,0.91052,0.0716098,0.463088,1
Shelf,3,0,0,0.708347,0.086546,1.35775,1
Table,6,0,0,0.894394,0.0529267,0.421874,1
Input map data
Chair,5,0,0,0.674068,0.0642345,32.1517,1
Couch,3,0,0,0.873981,0.0638313,2.67442,1
Shelf,3,0,0,0.734882,0.0662396,3.17,1
Table,6,0,0,0.907729,0.0441419,1.25286,1
Input map data
Chair,5,0,0,0.710265,0.0533753,2.27477,1
Couch,3,0,0,0.847812,0.0835498,3.70354,1
Shelf,3,0,0,0.726723,0.087544,2.42524,1
Table,5,0,1,0.837452,0.11785,11.2738,0.909091
Input map data
Chair,5,0,0,0.760242,0.0505458,3.33856,1
Couch,3,0,0,0.887836,0.0768511,1.65896,1
Shelf,3,0,0,0.833825,0.06537,2.31703,1
Table,6,0,0,0.904918,0.0401119,1.01072,1
Input map data
Chair,4,1,1,0.666969,0.0899076,2.83114,0.8
Couch,3,0,0,0.923987,0.0365635,0.736603,1
Shelf,3,0,0,0.819275,0.0473932,1.60425,1
Table,6,0,0,0.890353,0.0472567,0.387805,1
Input map data
Chair,5,0,0,0.75986,0.0592388,4.20472,1
Couch,3,0,0,0.780279,0.200828,1.34159,1
Shelf,3,0,0,0.855053,0.0328847,0.636258,1
Table,5,0,1,0.939357,0.0265642,0.258958,0.909091
Input map data
Chair,5,0,0,0.719996,0.0453771,2.854,1
Couch,3,0,0,0.807487,0.113884,4.20297,1
Shelf,3,0,0,0.851458,0.0405281,0.92316,1
Table,6,0,0,0.930546,0.030227,0.644838,1
Input map data
Chair,5,0,0,0.770655,0.049108,13.1976,1
Couch,3,0,0,0.882138,0.0585083,0.998069,1
Shelf,3,0,0,0.732367,0.0614257,4.5419,1
Table,5,0,1,0.876884,0.0679398,1.09663,0.909091
Input map data
Chair,5,1,0,0.677759,0.108791,6.82818,0.909091
Couch,3,0,0,0.837394,0.0848276,3.03881,1
Shelf,3,0,0,0.809499,0.0527287,0.91064,1
Table,6,0,0,0.882062,0.0600091,1.35747,1
Input map data
Chair,5,0,0,0.739878,0.0634148,4.05156,1
Couch,3,0,0,0.928504,0.0383179,1.47186,1
Shelf,3,0,0,0.731444,0.0806615,1.38331,1
Table,5,0,1,0.89436,0.0452988,0.73129,0.909091
Input map data
Chair,4,0,1,0.732303,0.063463,0.967989,0.888889
Couch,3,0,0,0.791279,0.106694,4.96362,1
Shelf,3,0,0,0.702948,0.119706,4.69878,1
Table,6,0,0,0.910189,0.0418066,0.734514,1
Input map data
Chair,5,0,0,0.610946,0.115893,9.78675,1
Couch,3,0,0,0.8969,0.0497449,0.810385,1
Shelf,3,0,0,0.776654,0.0636521,2.85552,1
Table,6,0,0,0.871836,0.0866554,0.717322,1
Input map data
Chair,5,0,0,0.55249,0.138364,21.4249,1
Couch,3,0,0,0.891762,0.0636004,1.28431,1
Shelf,3,0,0,0.74644,0.0802484,0.659428,1
Table,6,0,0,0.917456,0.0347983,0.405702,1
